"","taxon","user_supplied_name","taxon_rank","kingdom","phylum","class","order","family","genus","species","superfamily","paper","subgenus","infraspecies"
"32","Lanthus","Lanthus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Lanthus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"33","Neogomphus","Neogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Neogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"34","Progomphus","Progomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Progomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"35","Phyllogomphoides","Phyllogomphoides","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Phyllogomphoides",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"36","Lindenia","Lindenia","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Lindenia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"37","Stylogomphus","Stylogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Stylogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"38","Hagenius","Hagenius","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Hagenius",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"39","Lestinogomphus","Lestinogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Lestinogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"40","Austrogomphus","Austrogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Austrogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"41","Davidioides","Davidioides","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Davidioides",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
