"","taxon","user_supplied_name","taxon_rank","kingdom","phylum","class","order","family","genus","species","superfamily","paper","subgenus","infraspecies"
"1132","Libellulidae","Libellulidae","family","Animalia","Arthropoda","Insecta","Odonata","Libellulidae",NA,NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1133","Staurophlebia bosqi Navás, 1927","Staurophlebia bosqi","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Staurophlebia","Staurophlebia bosqi",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1134","Insecta","Insecta","class","Animalia","Arthropoda","Insecta",NA,NA,NA,NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1135","Pterygota","Pterygota","genus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Pterygota",NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1136","Petalura","Petalura","genus","Animalia","Arthropoda","Insecta","Odonata","Petaluridae","Petalura",NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1137","Neuraeschna costalis Burmeister, 1839","Neuraeschna costalis","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Neuraeschna","Neuraeschna costalis",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1138","Hemianax ephippiger Burmeister, 1839","Hemianax ephippiger","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Hemianax","Hemianax ephippiger",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1139","Corduliidae","Corduliidae","family","Animalia","Arthropoda","Insecta","Odonata","Corduliidae",NA,NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1140","Allopetalia pustulosa Selys, 1873","Allopetalia pustulosa","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Allopetalia","Allopetalia pustulosa",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1141","Treubia","Treubia","genus","Plantae","Marchantiophyta","Haplomitriopsida","Treubiales","Treubiaceae","Treubia",NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1142","Erpetogomphus","Erpetogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Erpetogomphus",NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1143","Anax longipes Hagen, 1861","Anax longipes","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Anax","Anax longipes",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1144","Anax concolor Brauer, 1865","Anax concolor","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Anax","Anax concolor",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1145","Oplonaeschna magna Gonzalez & Novelo, 1998","Oplonaeschna magna","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Oplonaeschna","Oplonaeschna magna",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1146","Idiocnemis","Idiocnemis","genus","Animalia","Arthropoda","Insecta","Odonata","Platycnemididae","Idiocnemis",NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1147","Papuagrion","Papuagrion","genus","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Papuagrion",NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1148","Teinobasis","Teinobasis","genus","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Teinobasis",NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1149","Aciagrion","Aciagrion","genus","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Aciagrion",NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1150","Bironides","Bironides","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Bironides",NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1151","Periaeschna magdalena Martin, 1909","Periaeschna magdalena","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Periaeschna","Periaeschna magdalena",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1152","Aeshna","Aeshna Marmaraeschna","genus","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna",NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1153","Boyeria cretensis Peters, 1991","Boyeria cretensis","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Boyeria","Boyeria cretensis",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1154","Libellula","Libellula","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",NA,NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1155","Gynacantha tibiata Karsch, 1891","Gynacantha tibiata","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Gynacantha","Gynacantha tibiata",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1156","Boyeria irene Fonscolombe, 1838","Boyeria irene","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Boyeria","Boyeria irene",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1157","Aeshna brevistyla Rambur, 1842","Aeshna brevistyla","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","Aeshna brevistyla",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1158","Antipodophlebia asthenes Tillyard, 1916","Antipodophlebia asthenes","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Antipodophlebia","Antipodophlebia asthenes",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1159","Petaliaeschna pinratanai Yeh, 1999","Petaliaeschna pinratanai","species","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Petaliaeschna","Petaliaeschna flavipes",NA,"Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1160","Nea","Nea","genus","Animalia","Arthropoda","Insecta","Coleoptera","Dryophthoridae","Nea",NA,"Curculionoidea","Ellenrieder-2002-Systematic_Entomology - Manpreet Kohli.pdf",NA,NA
"1161","Arthropoda","Arthropoda","phylum","Animalia","Arthropoda",NA,NA,NA,NA,NA,NA,"Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1162","Papilionoidea","Papilionoidea","superfamily","Animalia","Arthropoda","Insecta","Lepidoptera",NA,NA,NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1163","Papilionidae","Papilionidae","family","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae",NA,NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1164","Hesperiidae","Hesperiidae","family","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae",NA,NA,"Hesperioidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1165","Hedylidae","Hedylidae","family","Animalia","Arthropoda","Insecta","Lepidoptera","Hedylidae",NA,NA,"Hedyloidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1166","Pieridae","Pieridae","family","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae",NA,NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1167","Nymphalidae","Nymphalidae","family","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae",NA,NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1168","Lycaenidae","Lycaenidae","family","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae",NA,NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1169","Riodinidae","Riodinidae","family","Animalia","Arthropoda","Insecta","Lepidoptera","Riodinidae",NA,NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1170","Stegasta bosqueella Chambers, 1875","Stegasta bosqueella","species","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Stegasta","Stegasta bosqueella","Gelechioidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1171","Gelechiidae","Gelechiidae","family","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae",NA,NA,"Gelechioidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1172","Striglina strigifera Strand, 1913","Striglina strigifera","species","Animalia","Arthropoda","Insecta","Lepidoptera","Thyrididae","Striglina","Striglina strigifera","Thyridoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1173","Thyrididae","Thyrididae","family","Animalia","Arthropoda","Insecta","Lepidoptera","Thyrididae",NA,NA,"Thyridoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1174","Jalmenus evagoras (Donovan, 1805)","Jalmenus evagoras","species","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Jalmenus","Jalmenus evagoras","Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1175","Lepidochrysops patricia (Trimen, 1887)","Lepidochrysops patricia","species","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lepidochrysops","Lepidochrysops patricia","Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1176","Parnassius apollo (Linnaeus, 1758)","Parnassius apollo","species","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Parnassius","Parnassius apollo","Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1177","Lepidoptera","Lepidoptera","order","Animalia","Arthropoda","Insecta","Lepidoptera",NA,NA,NA,NA,"Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1178","Riodinella","Riodinella","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Riodinidae","Riodinella",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1179","Annonaceae","Annonaceae","family","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae",NA,NA,NA,"Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1180","Aristolochiaceae","Aristolochiaceae","family","Plantae","Tracheophyta","Magnoliopsida","Piperales","Aristolochiaceae",NA,NA,NA,"Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1181","Lauraceae","Lauraceae","family","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae",NA,NA,NA,"Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1182","Rutaceae","Rutaceae","family","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae",NA,NA,NA,"Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1183","Apiaceae","Apiaceae","family","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae",NA,NA,NA,"Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1184","Macrosoma","Macrosoma","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Hedylidae","Macrosoma",NA,"Hedyloidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1185","Brassicales","Brassicales","order","Plantae","Tracheophyta","Magnoliopsida","Brassicales",NA,NA,NA,NA,"Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1186","Arhopala","Arhopala","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Arhopala",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1187","Insecta","Insecta","class","Animalia","Arthropoda","Insecta",NA,NA,NA,NA,NA,"Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1188","Teinopalpus","Teinopalpus","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Teinopalpus",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1189","Meandrusa","Meandrusa","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Meandrusa",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1190","Hesperioidea","Hesperioidea","superfamily","Animalia","Arthropoda","Insecta","Lepidoptera",NA,NA,NA,"Hesperioidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1191","Leptidea","Leptidea","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Leptidea",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1192","Hedyloidea","Hedyloidea","superfamily","Animalia","Arthropoda","Insecta","Lepidoptera",NA,NA,NA,"Hedyloidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1193","Liolaemus darwinii (part) Etheridge, 1993","Liolaemus darwinii","species","Animalia","Chordata","Reptilia","Squamata","Liolaemidae","Liolaemus","Liolaemus grosseorum",NA,"Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1194","Squamata","Squamata","order","Animalia","Chordata","Reptilia","Squamata",NA,NA,NA,NA,"Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1195","Liolaemidae","Liolaemidae","family","Animalia","Chordata","Reptilia","Squamata","Liolaemidae",NA,NA,NA,"Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1196","Papilio","Papilio","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1197","Heliconius","Heliconius","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Heliconius",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1198","Bicyclus","Bicyclus anynana","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Bicyclus",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1199","Bombyx mori Linnaeus, 1758","Bombyx mori","species","Animalia","Arthropoda","Insecta","Lepidoptera","Bombycidae","Bombyx","Bombyx mori","Bombycoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1200","Neophasia","Neophasia","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Neophasia",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1201","Troides","Troides","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Troides",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1202","Euptychia","Euptychia","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euptychia",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1203","Danaus (Anosia) plexippus Linnaeus, 1758","Danaus plexippus","species","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus plexippus","Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1204","Heliconius melpomene Linnaeus, 1758","Heliconius melpomene","species","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Heliconius","Heliconius melpomene","Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1205","Melitaea cinxia Linnaeus, 1758","Melitaea cinxia","species","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Melitaea","Melitaea cinxia","Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1206","Plutella xylostella Linnaeus, 1767","Plutella xylostella","species","Animalia","Arthropoda","Insecta","Lepidoptera","Plutellidae","Plutella","Plutella xylostella","Yponomeutoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1207","Plutellidae","Plutellidae","family","Animalia","Arthropoda","Insecta","Lepidoptera","Plutellidae",NA,NA,"Yponomeutoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1208","Vanessa","Vanessa pluto","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1209","Theope","Theope","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Theope",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1210","Dynamine","Dynamine","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Dynamine",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1211","Jupiteria","Jupiteria charon","genus","Animalia","Mollusca","Bivalvia","Nuculanida","Nuculanidae","Jupiteria",NA,"Nuculanoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1212","Enodia","Enodia","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Enodia",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1213","Precis","Precis coenia","genus","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Precis",NA,"Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1214","Mita","Mita","genus","Chromista","Radiozoa","Polycystina","Paleo radiozoa","Archaeodictyomitridae","Mita",NA,"Archaeodictyomitracea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1215","Papilio xuthus Linnaeus, 1767","Papilio xuthus","species","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio xuthus","Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1216","Heliconius erato Linnaeus, 1758","Heliconius erato","species","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Heliconius","Heliconius erato","Papilionoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1217","Plodia interpunctella Hübner, [1813]","Plodia interpunctella","species","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Plodia","Plodia interpunctella","Pyraloidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1218","Spodoptera frugiperda Smith & Abbot, 1797","Spodoptera frugiperda","species","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera frugiperda","Noctuoidea","Espeland_et_al_2018_CurrBiol_sm - Akito Kawahara.pdf",NA,NA
"1219","Nannocoris","Nannocoris","genus","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Nannocoris",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1220","Hemiptera","Hemiptera","order","Animalia","Arthropoda","Insecta","Hemiptera",NA,NA,NA,NA,"Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1221","Schizopteridae","Schizopteridae","family","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae",NA,NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1222","Nannocoris","Nannocoris spp","genus","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Nannocoris",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1223","Schizoptera","Schizoptera","genus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Schizoptera",NA,NA,"Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1224","Dipsocoridae","Dipsocoridae","family","Animalia","Arthropoda","Insecta","Hemiptera","Dipsocoridae",NA,NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1225","Ceratocombidae","Ceratocombidae","family","Animalia","Arthropoda","Insecta","Hemiptera","Ceratocombidae",NA,NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1226","Nannocoris","Nannocoris capitatus","genus","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Nannocoris",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1227","Nannocoris","Nannocoris cavifrons","genus","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Nannocoris",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1228","Nannocoris","Nannocoris flavomarginatus","genus","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Nannocoris",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1229","Nannocoris","Nannocoris nasus","genus","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Nannocoris",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1230","Nannocoris","Nannocoris pricei","genus","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Nannocoris",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1231","Nannocoris","Nannocoris schwarzi","genus","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Nannocoris",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1232","Nannocoris","Nannocoris descolei","genus","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Nannocoris",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1233","Nannocoris","Nannocoris tuberculiferus","genus","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Nannocoris",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1234","Glyptocombus saltator Heidemann, 1906","Glyptocombus saltator","species","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Glyptocombus","Glyptocombus saltator","Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1235","Ceratocombus","Ceratocombus","genus","Animalia","Arthropoda","Insecta","Hemiptera","Ceratocombidae","Ceratocombus",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1236","Cryptostemma","Cryptostemma","genus","Animalia","Arthropoda","Insecta","Hemiptera","Dipsocoridae","Cryptostemma",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1237","Nannocoris","Nannocoris arimensis","genus","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Nannocoris",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1238","Corixidea","Corixidea","genus","Animalia","Arthropoda","Insecta","Hemiptera","Schizopteridae","Corixidea",NA,"Dipsocoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1239","Hydrometridae","Hydrometridae","family","Animalia","Arthropoda","Insecta","Hemiptera","Hydrometridae",NA,NA,"Hydrometroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1240","Heterocleptes","Heterocleptes","genus","Animalia","Arthropoda","Insecta","Hemiptera","Hydrometridae","Heterocleptes",NA,"Hydrometroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1241","Hydrometra","Hydrometra","genus","Animalia","Arthropoda","Insecta","Hemiptera","Hydrometridae","Hydrometra",NA,"Hydrometroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1242","Reduviidae","Reduviidae","family","Animalia","Arthropoda","Insecta","Hemiptera","Reduviidae",NA,NA,"Reduvoidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1243","Myodocha","Myodocha","genus","Animalia","Arthropoda","Insecta","Hemiptera","Rhyparochromidae","Myodocha",NA,"Lygaeoidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1244","Enchophora","Enchophora","genus","Animalia","Arthropoda","Insecta","Hemiptera","Fulgoridae","Enchophora",NA,"Fulgoroidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1245","Curculio","Curculio","genus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Curculio",NA,"Curculionoidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1246","Coleoptera","Coleoptera","order","Animalia","Arthropoda","Insecta","Coleoptera",NA,NA,NA,NA,"Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1247","Curculionidae","Curculionidae","family","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,"Curculionoidea","Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1248","Cyrtodiopsis","Cyrtodiopsis","genus","Animalia","Arthropoda","Insecta","Diptera","Diopsidae","Cyrtodiopsis",NA,NA,"Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1249","Diptera","Diptera","order","Animalia","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,"Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1250","Diopsidae","Diopsidae diopsid","family","Animalia","Arthropoda","Insecta","Diptera","Diopsidae",NA,NA,NA,"Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1251","Insecta","Insecta","class","Animalia","Arthropoda","Insecta",NA,NA,NA,NA,NA,"Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
"1252","Diopsidae","Diopsidae","family","Animalia","Arthropoda","Insecta","Diptera","Diopsidae",NA,NA,NA,"Frankenberg et al. 2018 Nannocoris - Christiane Weirauch.pdf",NA,NA
