"","Order","Suborders","Superfamily","Family","OTOL node ID","GenbankTaxonID","GenBank ""Taxonomy""  value (# species in genbank taxonomy)","GenBank ""sp."" (# sp. listed in genbank taxonomy)","GenBank ""spp.""","CoL (or other) number of Species descibed (not # estimated to be known to taxonomists)","% of species in NCBI sequenced","X12","X13","X14","X15","taxon"
"31","Hexapoda: Odonata","Zygoptera","---","Perilestidae","1038340","126183",12,4,0,19,"42.10526316",NA,NA,NA,NA,"Perilestidae"
"32","Hexapoda: Odonata","Zygoptera","Coenagrionoidea","Platycnemididae","210441","126177",111,7,0,226,"46.01769912",NA,NA,NA,NA,"Platycnemididae"
"33","Hexapoda: Odonata","Zygoptera","---","Platystictidae","294464","101720",69,8,0,217,"28.11059908",NA,NA,NA,NA,"Platystictidae"
"34","Hexapoda: Odonata","Zygoptera","Calopterygoidea","Polythoridae","108178","126190",21,1,0,59,"33.89830508",NA,NA,NA,NA,"Polythoridae"
"35","Hexapoda: Odonata","Zygoptera","---","Protoneuridae","854849","101721",62,1,0,260,"23.46153846",NA,NA,NA,NA,"Protoneuridae"
"36","Hexapoda: Odonata","Zygoptera","---","Pseudolestidae","126184","735544",0,0,0,1,"0",NA,NA,NA,NA,"Pseudolestidae"
"37","Hexapoda: Odonata","Zygoptera","Coenagrionoidea","Pseudostigmatidae","210447","126178",20,0,0,19,"105.2631579",NA,NA,NA,NA,"Pseudostigmatidae"
"38","Hexapoda: Odonata","Zygoptera","---","Synlestidae","735547","126185",25,10,0,35,"42.85714286",NA,NA,NA,NA,"Synlestidae"
"39","Hexapoda: Odonata","Anisoptera","Aeshnoidea","Aeshnidae","639694","50509",161,26,0,453,"29.8013245",NA,NA,NA,NA,"Aeshnidae"
"40","Hexapoda: Odonata","Anisoptera","Aeshnoidea","Austropetaliidae","290914","126215",13,0,0,11,"118.1818182",NA,NA,NA,NA,"Austropetaliidae"
"41","Hexapoda: Odonata","Anisoptera","Cavilabiata","Chlorogomphidae","865582","126221",16,3,0,48,"27.08333333",NA,NA,NA,NA,"Chlorogomphidae"
"42","Hexapoda: Odonata","Anisoptera","Cavilabiata","Cordulegastridae","754475","107811",54,15,0,44,"88.63636364",NA,NA,NA,NA,"Cordulegastridae"
"43","Hexapoda: Odonata","Anisoptera","Cavilabiata","Corduliidae","691818","70381",144,33,0,253,"43.87351779",NA,NA,NA,NA,"Corduliidae"
"44","Hexapoda: Odonata","Anisoptera","---","Gomphidae","231505","107808",387,113,0,964,"28.42323651",NA,NA,NA,NA,"Gomphidae"
"45","Hexapoda: Odonata","Anisoptera","Cavilabiata","Libellulidae","569002","6964",549,85,0,1031,"45.00484966",NA,NA,NA,NA,"Libellulidae"
"46","Hexapoda: Odonata","Anisoptera","Cavilabiata","Macromiidae","754473","107812",29,2,0,124,"21.77419355",NA,NA,NA,NA,"Macromiidae"
"47","Hexapoda: Odonata","Anisoptera","---","Petaluridae","754477","107810",18,8,0,10,"100",NA,NA,NA,NA,"Petaluridae"
"48","Hexapoda: Odonata","Anisoptera","Cavilabiata","Synthemistidae","602850","448009",14,0,0,43,"32.55813953",NA,NA,NA,NA,"Synthemistidae"
"66",NA,"Acanthametropodidae",NA,"Boopidae","875122","ncbi:145264",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Boopidae"
"67",NA,"Ametropodidae",NA,"Gyropidae","176104","ncbi:186201",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Gyropidae"
"68",NA,"Leptohyphidae",NA,"Laemobothriidae","1051181","ncbi:179155",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Laemobothriidae"
"69",NA,"Neoephemeridae",NA,"Menoponidae","168362","ncbi:50630",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Menoponidae"
"70",NA,"Arthropleidae",NA,"Ricinidae","1081689","ncbi:160060",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Ricinidae"
"71",NA,"Pseudironidae",NA,"Trimenoponidae","252249","ncbi:762540",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Trimenoponidae"
"72",NA,"Oligoneuriidae",NA,"Echinophthiriidae","228077","ncbi:138814",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Echinophthiriidae"
"73",NA,"Isonychiidae",NA,"Haematopinidae","1051173","ncbi:179152",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Haematopinidae"
"74",NA,"Metretopodidae",NA,"Hoplopleuridae","1010456","ncbi:160140",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Hoplopleuridae"
"75",NA,"Siphlonuridae",NA,"Linognathidae","750475","ncbi:186218",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Linognathidae"
"76",NA,"Caenidae",NA,"Microthoraciidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Microthoraciidae"
"77",NA,"Potamanthidae",NA,"Pedicinidae","125168","ncbi:186223",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Pedicinidae"
"78",NA,"Ameletidae",NA,"Pediculidae","1034019","ncbi:121221",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Pediculidae"
"79",NA,"Baetiscidae",NA,"Polyplacidae","1010451","ncbi:160145",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Polyplacidae"
"80",NA,"Heptageniidae",NA,"Pthiridae","1033996","ncbi:121229",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Pthiridae"
"81",NA,"Baetidae",NA,"Bovicoliidae","6320452","ncbi:1871078",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Bovicoliidae"
"82",NA,"Leptophlebiidae",NA,"Heptapsogasteridae","228080","ncbi:138817",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Heptapsogasteridae"
"83",NA,"Ephemerellidae",NA,"Philopteridae","1082614","ncbi:66236",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Philopteridae"
"84",NA,"Ephemeridae",NA,"Trichodectidae","684939","ncbi:35635",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Trichodectidae"
"85","Hexapoda: Psocodea","Rhyncophthirina",NA,"Haematomyzidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Haematomyzidae"
"86","Hexapoda: Psocodea","Psocomorpha",NA,"Archipsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Archipsocidae"
"87","Hexapoda: Psocodea","Psocomorpha",NA,"Asiopsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Asiopsocidae"
"88","Hexapoda: Psocodea","Psocomorpha",NA,"Amphipsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Amphipsocidae"
"89","Hexapoda: Psocodea","Psocomorpha",NA,"Caeciliusidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Caeciliusidae"
"90","Hexapoda: Psocodea","Psocomorpha",NA,"Dasydemellidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Dasydemellidae"
"91","Hexapoda: Psocodea","Psocomorpha",NA,"Stenopsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Stenopsocidae"
"92","Hexapoda: Psocodea","Psocomorpha",NA,"Cladiopsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Cladiopsocidae"
"93","Hexapoda: Psocodea","Psocomorpha",NA,"Dolabellopsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Dolabellopsocidae"
"94","Hexapoda: Psocodea","Psocomorpha",NA,"Epipsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Epipsocidae"
"95","Hexapoda: Psocodea","Psocomorpha",NA,"Neurostigmatidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Neurostigmatidae"
"96","Hexapoda: Psocodea","Psocomorpha",NA,"Ptiloneuridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Ptiloneuridae"
"97","Hexapoda: Psocodea","Psocomorpha",NA,"Spurostigmatidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Spurostigmatidae"
"98","Hexapoda: Psocodea","Psocomorpha",NA,"Elipsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Elipsocidae"
"99","Hexapoda: Psocodea","Psocomorpha",NA,"Ectopsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Ectopsocidae"
"100","Hexapoda: Psocodea","Psocomorpha",NA,"Lachesillidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Lachesillidae"
"101","Hexapoda: Psocodea","Psocomorpha",NA,"Bryopsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Bryopsocidae"
"102","Hexapoda: Psocodea","Psocomorpha",NA,"Mesopsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Mesopsocidae"
"103","Hexapoda: Psocodea","Psocomorpha",NA,"Peripsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Peripsocidae"
"104","Hexapoda: Psocodea","Psocomorpha",NA,"Philotarsidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Philotarsidae"
"105","Hexapoda: Psocodea","Psocomorpha",NA,"Calopsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Calopsocidae"
"106","Hexapoda: Psocodea","Psocomorpha",NA,"Pseudocaeciliidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Pseudocaeciliidae"
"107","Hexapoda: Psocodea","Psocomorpha",NA,"Trichopsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Trichopsocidae"
"108","Hexapoda: Psocodea","Psocomorpha",NA,"Hemipsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Hemipsocidae"
"109","Hexapoda: Psocodea","Psocomorpha",NA,"Myopsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Myopsocidae"
"110","Hexapoda: Psocodea","Psocomorpha",NA,"Psilopsocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Psilopsocidae"
"111","Hexapoda: Psocodea","Psocomorpha",NA,"Psocidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Psocidae"
"112","Hexapoda: Thysanoptera","Terebrantia",NA,"Aeolothripidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Aeolothripidae"
"113","Hexapoda: Thysanoptera","Terebrantia",NA,"Fauriellidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Fauriellidae"
"114","Hexapoda: Thysanoptera","Terebrantia",NA,"Heterothripidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Heterothripidae"
"115","Hexapoda: Thysanoptera","Terebrantia",NA,"Melanthripidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Melanthripidae"
"116","Hexapoda: Thysanoptera","Terebrantia",NA,"Merothripidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Merothripidae"
"117","Hexapoda: Thysanoptera","Terebrantia",NA,"Stenurothripidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Stenurothripidae"
"118","Hexapoda: Thysanoptera","Terebrantia",NA,"Thripidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Thripidae"
"119","Hexapoda: Thysanoptera","Terebrantia",NA,"Uzelothripidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Uzelothripidae"
"120","Hexapoda: Thysanoptera","Tubulifera",NA,"Phlaeothripidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Phlaeothripidae"
"121","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Aclerdidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Aclerdidae"
"122","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Adelgidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Adelgidae"
"123","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Aleyrodidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Aleyrodidae"
"124","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Anoeciidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Anoeciidae"
"125","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Aphalaridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Aphalaridae"
"126","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Aphididae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Aphididae"
"127","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Asterolecaniidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Asterolecaniidae"
"128","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Beesoniidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Beesoniidae"
"129","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Calophyidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Calophyidae"
"130","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Carsidaridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Carsidaridae"
"131","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Cerococcidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Cerococcidae"
"132","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Coccidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Coccidae"
"133","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Coelostomidiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Coelostomidiidae"
"134","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Conchaspididae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Conchaspididae"
"135","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Dactylopiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Dactylopiidae"
"136","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Diaspididae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Diaspididae"
"137","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Eriococcidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Eriococcidae"
"138","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Greenideidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Greenideidae"
"139","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Halimococcidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Halimococcidae"
"140","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Homotomidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Homotomidae"
"141","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Hormaphididae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Hormaphididae"
"142","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Kermesidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Kermesidae"
"143","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Kerriidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Kerriidae"
"144","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Kuwaniidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Kuwaniidae"
"145","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Lachnidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Lachnidae"
"146","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Lecanodiaspididae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Lecanodiaspididae"
"147","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Liviidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Liviidae"
"148","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Margarodidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Margarodidae"
"149","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Mindaridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Mindaridae"
"150","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Monophlebidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Monophlebidae"
"151","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Ortheziidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Ortheziidae"
"152","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Pemphigidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Pemphigidae"
"153","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Phacopteronidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Phacopteronidae"
"154","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Phloeomyzidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Phloeomyzidae"
"155","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Phoenicococcidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Phoenicococcidae"
"156","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Phylloxeridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Phylloxeridae"
"157","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Pseudococcidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Pseudococcidae"
"158","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Psyllidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Psyllidae"
"159","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Stictococcidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Stictococcidae"
"160","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Thelaxidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Thelaxidae"
"161","Hexapoda: Hemiptera","Sternorrhyncha",NA,"Triozidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Triozidae"
"162","Hexapoda: Hemiptera","Coleorrhyncha",NA,"Peloridiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Peloridiidae"
"163","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Aphrophoridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Aphrophoridae"
"164","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Cercopidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Cercopidae"
"165","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Clastopteridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Clastopteridae"
"166","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Epipygidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Epipygidae"
"167","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Machaerotidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Machaerotidae"
"168","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Cicadidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Cicadidae"
"169","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Tettigarctidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Tettigarctidae"
"170","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Aetalionidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Aetalionidae"
"171","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Cicadellidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Cicadellidae"
"172","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Melizoderidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Melizoderidae"
"173","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Membracidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Membracidae"
"174","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Myerslopiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Myerslopiidae"
"175","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Acanaloniidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Acanaloniidae"
"176","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Achilidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Achilidae"
"177","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Achilixiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Achilixiidae"
"178","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Caliscelidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Caliscelidae"
"179","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Cixiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Cixiidae"
"180","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Delphacidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Delphacidae"
"181","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Derbidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Derbidae"
"182","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Dictyopharidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Dictyopharidae"
"183","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Eurybrachyidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Eurybrachyidae"
"184","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Flatidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Flatidae"
"185","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Fulgoridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Fulgoridae"
"186","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Issidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Issidae"
"187","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Kinnaridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Kinnaridae"
"188","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Lophopidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Lophopidae"
"189","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Meenoplidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Meenoplidae"
"190","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Nogodinidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Nogodinidae"
"191","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Ricaniidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Ricaniidae"
"192","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Tettigometridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Tettigometridae"
"193","Hexapoda: Hemiptera","Auchenorrhyncha",NA,"Tropiduchidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Tropiduchidae"
"194","Hexapoda: Hemiptera","Heteroptera",NA,"Acanthosomatidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Acanthosomatidae"
"195","Hexapoda: Hemiptera","Heteroptera",NA,"Aenictopecheidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Aenictopecheidae"
"196","Hexapoda: Hemiptera","Heteroptera",NA,"Aepophilidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Aepophilidae"
"197","Hexapoda: Hemiptera","Heteroptera",NA,"Alydidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Alydidae"
"198","Hexapoda: Hemiptera","Heteroptera",NA,"Anthocoridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Anthocoridae"
"199","Hexapoda: Hemiptera","Heteroptera",NA,"Aphelocheiridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Aphelocheiridae"
"200","Hexapoda: Hemiptera","Heteroptera",NA,"Aradidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Aradidae"
"201","Hexapoda: Hemiptera","Heteroptera",NA,"Artheneidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Artheneidae"
"202","Hexapoda: Hemiptera","Heteroptera",NA,"Belostomatidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Belostomatidae"
"203","Hexapoda: Hemiptera","Heteroptera",NA,"Berytidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Berytidae"
"204","Hexapoda: Hemiptera","Heteroptera",NA,"Blissidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Blissidae"
"205","Hexapoda: Hemiptera","Heteroptera",NA,"Canopidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Canopidae"
"206","Hexapoda: Hemiptera","Heteroptera",NA,"Ceratocombidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Ceratocombidae"
"207","Hexapoda: Hemiptera","Heteroptera",NA,"Cimicidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Cimicidae"
"208","Hexapoda: Hemiptera","Heteroptera",NA,"Colobathristidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Colobathristidae"
