"","Order","Suborders","Superfamily","Family","OTOL node ID","GenbankTaxonID","GenBank ""Taxonomy""  value (# species in genbank taxonomy)","GenBank ""sp."" (# sp. listed in genbank taxonomy)","GenBank ""spp.""","CoL (or other) number of Species descibed (not # estimated to be known to taxonomists)","% of species in NCBI sequenced","X12","X13","X14","X15","taxon"
"408","Hexapoda: Diptera","Brachycera: Muscomorpha","Sphaeroceroidea","Heleomyzidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Heleomyzidae"
"409","Hexapoda: Diptera","Brachycera: Muscomorpha","Sciomyzoidea","Helosciomyzidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Helosciomyzidae"
"410","Hexapoda: Diptera","Brachycera: Muscomorpha","Sciomyzoidea","Heterocheilidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Heterocheilidae"
"411","Hexapoda: Diptera","Brachycera: Muscomorpha","Hippoboscoidea","Hippoboscidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Hippoboscidae"
"412","Hexapoda: Diptera","Brachycera: Muscomorpha","Sciomyzoidea","Huttoninidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Huttoninidae"
"413","Hexapoda: Diptera","Brachycera: Muscomorpha","Carnoidea","Inbiomyiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Inbiomyiidae"
"414","Hexapoda: Diptera","Brachycera: Muscomorpha","Lauxanioidea","Lauxaniidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Lauxaniidae"
"415","Hexapoda: Diptera","Brachycera: Muscomorpha","Tephritoidea","Lonchaeidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Lonchaeidae"
"416","Hexapoda: Diptera","Brachycera: Muscomorpha","Opomyzoidea","Marginidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Marginidae"
"417","Hexapoda: Diptera","Brachycera: Muscomorpha","Nerioidea","Megamerinidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Megamerinidae"
"418","Hexapoda: Diptera","Brachycera: Muscomorpha","Nerioidea","Micropezidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Micropezidae"
"419","Hexapoda: Diptera","Brachycera: Muscomorpha","Carnoidea","Milichiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Milichiidae"
"420","Hexapoda: Diptera","Brachycera: Muscomorpha","Ephydroidea","Mormotomyiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Mormotomyiidae"
"421","Hexapoda: Diptera","Brachycera: Muscomorpha","Muscoidea","Muscidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Muscidae"
"422","Hexapoda: Diptera","Brachycera: Muscomorpha","Oestroidea","Mystacinobiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Mystacinobiidae"
"423","Hexapoda: Diptera","Brachycera: Muscomorpha","Sphaeroceroidea","Nannodastiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Nannodastiidae"
"424","Hexapoda: Diptera","Brachycera: Muscomorpha","Sciomyzoidea","Natalimyzidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Natalimyzidae"
